F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,,,,,,,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B
32000,0.0012298,32000,0.00123169,32000,0.00122504,32000,0.00122739,32000,0.00123854,32000,0.00123604,32000,0.00123824,32000,0.00124574,32000,0.00124854,32000,0.00124819,32000,0.00124347,32000,0.00125082,32000,0.00125266,32000,0.0012424,32000,0.00124493,32000,0.00124444,32000,0.00124285,32000,0.00124515,32000,0.0012549,32000,0.00125026,32000,0.00125712,32000,0.00124953,32000,0.00126269,32000,0.0012599,32000,0.0012542,32000,0.0012607,32000,0.00125985,32000,0.00125766,32000,0.00125617,32000,0.00125772,32000,0.00126173,32000,0.00126173,32000,0.00126887,32000,0.00126889,32000,0.00126889,32000,0.00126292,32000,0.00126719,32000,0.00127319,32000,0.00126028,32000,0.00129958,32000,0.00127927,32000,0.0012745,32000,0.00126891,32000,0.0012626,32000,0.00128024
32100,0.00123361,32100,0.00123549,32100,0.00122887,32100,0.00123127,32100,0.00124244,32100,0.00123989,32100,0.0012422,32100,0.00124945,32100,0.00125245,32100,0.00125208,32100,0.00124732,32100,0.00125475,32100,0.00125653,32100,0.0012463,32100,0.00124878,32100,0.00124838,32100,0.0012468,32100,0.00124901,32100,0.00125884,32100,0.00125423,32100,0.00126099,32100,0.00125341,32100,0.0012667,32100,0.00126383,32100,0.00125805,32100,0.00126451,32100,0.0012638,32100,0.00126154,32100,0.00126006,32100,0.00126163,32100,0.00126566,32100,0.00126566,32100,0.0012728,32100,0.00127277,32100,0.00127277,32100,0.00126687,32100,0.00127128,32100,0.00127721,32100,0.0012642,32100,0.00130355,32100,0.00128328,32100,0.00127847,32100,0.00127287,32100,0.00126645,32100,0.00128421
32200,0.00123751,32200,0.00123931,32200,0.00123268,32200,0.00123515,32200,0.00124665,32200,0.0012437,32200,0.00124595,32200,0.00125335,32200,0.00125633,32200,0.00125601,32200,0.00125127,32200,0.00125857,32200,0.00126049,32200,0.0012501,32200,0.00125263,32200,0.00125226,32200,0.00125059,32200,0.00125283,32200,0.00126271,32200,0.00125811,32200,0.00126492,32200,0.00125741,32200,0.00127062,32200,0.00126775,32200,0.00126206,32200,0.00126852,32200,0.00126772,32200,0.00126543,32200,0.00126397,32200,0.0012655,32200,0.00126961,32200,0.00126961,32200,0.00127684,32200,0.0012768,32200,0.0012768,32200,0.0012708,32200,0.00127538,32200,0.0012811,32200,0.00126808,32200,0.00130754,32200,0.00128726,32200,0.00128237,32200,0.00127676,32200,0.00127046,32200,0.00128822
32300,0.0012414,32300,0.00124322,32300,0.00123651,32300,0.00123902,32300,0.00125029,32300,0.0012477,32300,0.0012499,32300,0.00125727,32300,0.00126018,32300,0.00125984,32300,0.00125511,32300,0.00126252,32300,0.00126435,32300,0.00125398,32300,0.0012565,32300,0.00125609,32300,0.0012544,32300,0.00125665,32300,0.00126658,32300,0.00126198,32300,0.00126878,32300,0.0012613,32300,0.00127454,32300,0.00127167,32300,0.00126592,32300,0.00127241,32300,0.00127164,32300,0.00126934,32300,0.0012678,32300,0.00126954,32300,0.00127355,32300,0.00127355,32300,0.00128077,32300,0.00128076,32300,0.00128076,32300,0.0012747,32300,0.00127912,32300,0.00128506,32300,0.00127206,32300,0.00131159,32300,0.00129122,32300,0.0012864,32300,0.00128074,32300,0.00127433,32300,0.00129229
32400,0.00124525,32400,0.00124709,32400,0.00124041,32400,0.00124292,32400,0.00125404,32400,0.00125148,32400,0.0012538,32400,0.00126102,32400,0.00126401,32400,0.00126371,32400,0.00125891,32400,0.00126629,32400,0.00126819,32400,0.00125781,32400,0.00126037,32400,0.0012599,32400,0.00125827,32400,0.00126045,32400,0.0012705,32400,0.00126585,32400,0.00127276,32400,0.00126512,32400,0.00127841,32400,0.00127564,32400,0.00126982,32400,0.00127632,32400,0.00127548,32400,0.00127325,32400,0.00127174,32400,0.0012734,32400,0.00127747,32400,0.00127747,32400,0.00128466,32400,0.00128471,32400,0.00128471,32400,0.00127869,32400,0.00128313,32400,0.00128904,32400,0.00127601,32400,0.0013155,32400,0.0012952,32400,0.00129036,32400,0.00128469,32400,0.00127834,32400,0.00129621
32500,0.0012491,32500,0.00125099,32500,0.00124422,32500,0.0012467,32500,0.00125796,32500,0.00125538,32500,0.00125781,32500,0.00126488,32500,0.00126797,32500,0.0012675,32500,0.00126278,32500,0.00127023,32500,0.0012721,32500,0.00126162,32500,0.00126417,32500,0.00126374,32500,0.0012621,32500,0.00126434,32500,0.00127436,32500,0.00126975,32500,0.00127661,32500,0.00126891,32500,0.0012824,32500,0.00127962,32500,0.00127379,32500,0.00128027,32500,0.00127947,32500,0.00127718,32500,0.00127566,32500,0.00127725,32500,0.00128143,32500,0.00128143,32500,0.00128861,32500,0.00128863,32500,0.00128863,32500,0.00128262,32500,0.00128713,32500,0.00129303,32500,0.00127988,32500,0.00131953,32500,0.0012992,32500,0.00129436,32500,0.00128858,32500,0.00128225,32500,0.00130025
32600,0.00125298,32600,0.00125488,32600,0.00124803,32600,0.00125049,32600,0.00126188,32600,0.00125917,32600,0.0012616,32600,0.00126884,32600,0.00127183,32600,0.00127153,32600,0.00126676,32600,0.00127411,32600,0.00127595,32600,0.00126537,32600,0.00126795,32600,0.00126752,32600,0.00126594,32600,0.00126815,32600,0.00127823,32600,0.00127352,32600,0.00128059,32600,0.00127297,32600,0.00128625,32600,0.00128347,32600,0.00127765,32600,0.00128422,32600,0.00128335,32600,0.00128097,32600,0.00127957,32600,0.00128119,32600,0.00128531,32600,0.00128531,32600,0.00129269,32600,0.00129263,32600,0.00129263,32600,0.00128657,32600,0.00129099,32600,0.00129691,32600,0.0012839,32600,0.0013235,32600,0.00130315,32600,0.00129829,32600,0.0012926,32600,0.00128617,32600,0.00130422
32700,0.0012568,32700,0.00125873,32700,0.00125186,32700,0.00125432,32700,0.00126561,32700,0.00126305,32700,0.00126536,32700,0.0012728,32700,0.00127578,32700,0.00127538,32700,0.00127048,32700,0.001278,32700,0.00127974,32700,0.00126922,32700,0.00127181,32700,0.0012713,32700,0.0012698,32700,0.001272,32700,0.00128205,32700,0.00127739,32700,0.00128448,32700,0.00127697,32700,0.00129016,32700,0.00128741,32700,0.00128156,32700,0.00128812,32700,0.00128729,32700,0.00128498,32700,0.00128355,32700,0.00128512,32700,0.00128937,32700,0.00128937,32700,0.00129659,32700,0.00129658,32700,0.00129658,32700,0.00129046,32700,0.00129485,32700,0.00130093,32700,0.00128779,32700,0.00132751,32700,0.00130721,32700,0.00130228,32700,0.00129654,32700,0.00129008,32700,0.0013082
32800,0.00126065,32800,0.0012627,32800,0.00125571,32800,0.0012582,32800,0.00126927,32800,0.001267,32800,0.00126929,32800,0.00127667,32800,0.00127952,32800,0.00127925,32800,0.00127434,32800,0.00128183,32800,0.00128363,32800,0.00127302,32800,0.00127555,32800,0.00127517,32800,0.00127361,32800,0.00127589,32800,0.0012859,32800,0.00128111,32800,0.00128835,32800,0.00128059,32800,0.00129415,32800,0.00129131,32800,0.00128535,32800,0.00129203,32800,0.00129124,32800,0.00128892,32800,0.00128738,32800,0.00128906,32800,0.00129328,32800,0.00129328,32800,0.00130062,32800,0.0013004,32800,0.0013004,32800,0.00129435,32800,0.00129892,32800,0.00130491,32800,0.00129171,32800,0.00133161,32800,0.0013112,32800,0.00130625,32800,0.00130047,32800,0.00129401,32800,0.00131223
32900,0.00126458,32900,0.00126647,32900,0.00125951,32900,0.00126208,32900,0.00127323,32900,0.00127082,32900,0.00127316,32900,0.00128046,32900,0.0012835,32900,0.00128313,32900,0.00127826,32900,0.0012856,32900,0.00128752,32900,0.00127676,32900,0.00127946,32900,0.00127901,32900,0.00127739,32900,0.00127969,32900,0.00128966,32900,0.00128504,32900,0.0012923,32900,0.00128482,32900,0.00129793,32900,0.00129519,32900,0.0012893,32900,0.00129597,32900,0.00129513,32900,0.00129281,32900,0.00129135,32900,0.00129299,32900,0.00129705,32900,0.00129705,32900,0.00130444,32900,0.0013044,32900,0.0013044,32900,0.00129838,32900,0.00130278,32900,0.00130885,32900,0.00129566,32900,0.00133558,32900,0.00131516,32900,0.00131021,32900,0.00130447,32900,0.001298,32900,0.00131615
